use_stl_remainder,use_mean_precip,n_train,p,interm_lvl,nb_fits,rnn_type,num_layers,hidden_size,p_drop,L2_pen,seq_len,learning_rate,n_epochs,batch_size,lr_decay,patience_decay,min_lr,patience_stop,scale_features,tol,Train_loss,Valid_loss,min_valid_loss,min_valid_e,test_loss
FALSE,FALSE,7762,7,0.8,3,lstm,1,32,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.87330262176692,2.34954811446369,2.30870442837477,470,3.09428537268844
FALSE,FALSE,7762,7,0.8,3,lstm,2,32,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.94217246957123,2.58853596821427,2.58760109730065,996,3.30484123668185
FALSE,FALSE,7762,7,0.8,3,lstm,3,32,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.95891384594142,2.48254776000977,2.4814451597631,979,3.2370938968645
FALSE,FALSE,7762,7,0.8,3,lstm,1,64,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.88391401432455,2.39054497890174,2.39033984579146,980,3.11056668819574
FALSE,FALSE,7762,7,0.8,3,lstm,2,64,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.6970198629424,2.31621782854199,2.2987252175808,286,2.99133087229185
FALSE,FALSE,7762,7,0.8,3,lstm,3,64,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.5764879193157,2.43982110917568,2.38543236814439,270,3.20135111701207
FALSE,FALSE,7762,7,0.8,3,lstm,1,128,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.87748647853732,2.37045968510211,2.3360970467329,185,3.0343686936847
FALSE,FALSE,7762,7,0.8,3,lstm,2,128,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.47825392708182,2.29192293435335,2.25347399059683,181,3.00563973035649
FALSE,FALSE,7762,7,0.8,3,lstm,3,128,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.7009552679956,2.21410571038723,2.17789295874536,200,2.93676020284663
FALSE,FALSE,7762,7,0.8,3,lstm,1,256,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.92202943377197,2.29440771229565,2.29335702769458,994,3.01962749743314
FALSE,FALSE,7762,7,0.8,3,lstm,2,256,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.13842716068029,2.10216140933335,2.10141448862851,995,2.81558261118042
FALSE,FALSE,7762,7,0.8,3,lstm,3,256,0,0,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,24.415375187993,23.0963331013918,23.0940910130739,78,23.4220523383593
FALSE,FALSE,7762,7,0.8,3,lstm,1,32,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.99601121526212,2.28013125061989,2.27636536583304,480,3.06210583197347
FALSE,FALSE,7762,7,0.8,3,lstm,2,32,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.95634560845792,2.48081374913454,2.46786671876907,425,3.19977570576304
FALSE,FALSE,7762,7,0.8,3,lstm,3,32,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.75979026220739,2.99360675923526,2.97156734019518,411,3.5773376112033
FALSE,FALSE,7762,7,0.8,3,lstm,1,64,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.77868739329278,2.34150301665068,2.33439390920103,286,3.03763421990547
FALSE,FALSE,7762,7,0.8,3,lstm,2,64,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.64352705702186,2.30813301540911,2.30673964880407,986,3.02767002561058
FALSE,FALSE,7762,7,0.8,3,lstm,3,64,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.86157040111721,2.47877882793546,2.47744472883642,995,3.16617954874934
FALSE,FALSE,7762,7,0.8,3,lstm,1,128,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.80100989155471,2.33805051259696,2.28073041141033,197,3.02310118457038
FALSE,FALSE,7762,7,0.8,3,lstm,2,128,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.67756767570972,2.3104184512049,2.27211457118392,174,2.98212023430411
FALSE,FALSE,7762,7,0.8,3,lstm,3,128,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.63915451616049,2.13138863816857,2.11081483773887,199,2.81909996247829
FALSE,FALSE,7762,7,0.8,3,lstm,1,256,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.7823693305254,2.20467064063996,2.18462817370892,182,2.80293836136391
FALSE,FALSE,7762,7,0.8,3,lstm,2,256,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.94923728238791,2.12296349555254,2.11963057518005,992,2.77256785257618
FALSE,FALSE,7762,7,0.8,3,lstm,1,32,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.01743256673217,2.40650405921042,2.39141941070557,436,3.11112396819327
FALSE,FALSE,7762,7,0.8,3,lstm,2,32,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.88768478482962,2.74417000450194,2.7441391274333,758,3.3879968776131
FALSE,FALSE,7762,7,0.8,3,lstm,3,32,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.66727220639586,3.28814762830734,3.27958818152547,987,3.86115431890009
FALSE,FALSE,7762,7,0.8,3,lstm,2,64,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.18632465973496,2.41929614171386,2.41439467668533,289,3.12247499018401
FALSE,FALSE,7762,7,0.8,3,lstm,3,64,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.39718520082533,2.4140162691474,2.41325902938843,992,3.1274805302679
FALSE,FALSE,7762,7,0.8,3,lstm,1,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.00275524705648,2.65983028896153,2.65851683169603,986,3.39203727009678
FALSE,FALSE,7762,7,0.8,3,lstm,2,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.97161938250065,2.19724154472351,2.19473515637219,990,2.86490683920792
FALSE,FALSE,7762,7,0.8,3,lstm,3,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,4.30458632111549,4.13035996444523,3.11184464581311,122,4.72970326727072
FALSE,FALSE,7762,7,0.8,3,lstm,1,256,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.24045098386705,3.01069112867117,3.00839454680681,987,3.74530054013267
FALSE,FALSE,7762,7,0.8,3,lstm,2,256,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.07964961882681,2.06578471884131,2.05989856272936,988,2.72707598198156
FALSE,FALSE,7762,7,0.8,3,lstm,1,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.12059130240232,2.65598674118519,2.65503256395459,996,3.44647181824176
FALSE,FALSE,7762,7,0.8,3,lstm,2,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.13605763576925,2.16605501435697,2.16439979895949,974,2.96210399335242
FALSE,FALSE,7762,7,0.8,3,lstm,3,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,23.6204062849283,22.6713594794273,21.8076193332672,142,22.8067786892456
FALSE,FALSE,7762,7,0.8,3,lstm,1,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,23.3374774008989,23.0058601051569,22.999343469739,996,22.9265463881699
FALSE,FALSE,7762,7,0.8,3,lstm,2,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,7.10689477622509,7.12815485149622,7.12041489034891,991,7.85428512554077
FALSE,FALSE,7762,7,0.8,3,lstm,3,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,14.6854716092348,14.384909145534,14.3123315274715,948,14.7913539829506
